session_start,session_type,leg,strike,option_type,position,entry_price,expiry,contracts
2025-01-13 08:00:00+00:00,weekday,atm_call,93000.0,C,short,0.011,2025-01-14 00:00:00+00:00,1
2025-01-13 08:00:00+00:00,weekday,atm_put,93000.0,P,short,0.011,2025-01-14 00:00:00+00:00,1
2025-01-13 08:00:00+00:00,weekday,otm_call,100000.0,C,long,0.0001,2025-01-14 00:00:00+00:00,1
2025-01-13 08:00:00+00:00,weekday,otm_put,84000.0,P,long,0.0002,2025-01-14 00:00:00+00:00,1
2025-01-20 08:00:00+00:00,weekday,atm_call,108000.0,C,short,0.0215,2025-01-21 00:00:00+00:00,1
2025-01-20 08:00:00+00:00,weekday,atm_put,108000.0,P,short,0.019,2025-01-21 00:00:00+00:00,1
2025-01-20 08:00:00+00:00,weekday,otm_call,122000.0,C,long,0.0016,2025-01-21 00:00:00+00:00,1
2025-01-20 08:00:00+00:00,weekday,otm_put,92000.0,P,long,0.0002,2025-01-21 00:00:00+00:00,1
2025-04-07 08:00:00+00:00,weekday,atm_call,76000.0,C,short,0.023,2025-04-08 00:00:00+00:00,1
2025-04-07 08:00:00+00:00,weekday,atm_put,75000.0,P,short,0.0115,2025-04-08 00:00:00+00:00,1
2025-04-07 08:00:00+00:00,weekday,otm_call,86000.0,C,long,0.0003,2025-04-08 00:00:00+00:00,1
2025-04-07 08:00:00+00:00,weekday,otm_put,67000.0,P,long,0.0009,2025-04-08 00:00:00+00:00,1
